LP,Year,State,Cost Center,DNT,VIN #,Unit #,Color,Make,Model,Start Date,End Date
NTN9428,2020,TX,5801,12032932,3N6CM0KN7LK706466,202018,BLACK,NISSAN,NV200,01/01/2021,-
NWC7447,2021,TX,9060,12134034,2GNAXFEVXM6108590,P21042,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
NWF8718,2021,TX,5801,02809660,3N6CM0KN8MK691381,P21003,WHITE,NISSAN,NV200,01/01/2021,-
NWJ1854,2021,TX,9099,12034690,3GCPWEED9MG201774,P21044,BLACK,CHEVROLET,SILVERADO 1500,01/01/2021,-
NWJ2604,2021,TX,9060,12032879,2GNAXHEV9M6144640,P21041,BLACK,CHEVROLET,EQUINOX,01/01/2021,-
NYB6781,2021,TX,5801,12192159,3N6CM0KNXMK691298,P21067,WHITE,NISSAN,NV200,01/01/2021,-
NYR6823,2020,TX,5804,03063704,3N6CM0KN5LK695029,P20035,BLACK,NISSAN,NV200,01/01/2021,-
NYR6824,2020,TX,5803,12034685,3N6CM0KN9LK693509,P20034,BLACK,NISSAN,NV200,01/01/2021,-
OK7YX,2020,UT,5940,-,1N6BF0KM6LN803097,4001,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
P802293,2020,SC,5935,-,3N6CM0KN1LK696291,2005,WHITE,NISSAN,NV200,01/01/2021,-
PBC4341,2021,TX,5893,12032914,3N6CM0KN5MK691211,P20040,WHITE,NISSAN,NV200,01/01/2021,-
PBM3164,2020,TX,5802,12134033,1N6BF0KM3LN801582,204,WHITE,NISSAN,NV CARGO NV1500,01/01/2021,-
PCQM98,2020,FL,5807,3301170102,KNMAT2MT9LP525680,106,WHITE,NISSAN,ROGUE,01/01/2021,-
PDX3378,2021,TX,9099,12032905,1GNERFKW3MJ150918,P21051,WHITE,CHEVROLET,TRAVERSE,01/01/2021,-
PFH3474,2020,TX,5847,12034687,3N6CM0KN3LK707016,P20026,BLACK,NISSAN,NV200,01/01/2021,-
PFL4984,2021,TX,5893,12032904,3N6CM0KN9MK692491,P21046,BLACK,NISSAN,NV200,01/01/2021,-
PFS8232,2021,TX,9099,02110957,1N4AA6EV5MC501694,P21064,WHITE,NISSAN,MAXIMA,01/01/2021,-
PFZ0893,2021,TX,5882,03063712,3N6CM0KN9MK692166,P21024,WHITE,NISSAN,NV200,01/01/2021,-
PGF7301,2021,TX,5927,12032929,3N6CM0KN3MK692504,P21026,WHITE,NISSAN,NV200,01/01/2021,-
PGH8167,2021,TX,9716,12032927,3GNAXHEV1MS127347,C21001,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
PGT6539,2021,TX,5802,12034688,2GNAXHEV0M6145384,P21054,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
PGT7460,2021,TX,9713,12032896,2GNAXHEV9M6135100,P21031,WHITE,CHEVROLET,EQUINOX,01/01/2021,-
PJB7912,2021,TX,9099,12032923,KM8R54HE9MU224250,P21048,BLACK,HYUNDAI,PALISADE,01/01/2021,-
PJS6144,2020,TX,5810,02805926,3N6CM0KN6LK695637,1205,BLACK,NISSAN,NV200,01/01/2021,-
PKK7965,2021,TX,Unassigned,03063373,3N6CM0KN7MK693039,C21157,BLACK,NISSAN,NV200,01/01/2021,-
PKK7966,2021,TX,5870,G503100917400,3N6CM0KN3MK692826,C21158,BLACK,NISSAN,NV200,01/01/2021,-
PKK7967,2021,TX,5899,03063721,3N6CM0KN6MK702023,C21159,BLACK,NISSAN,NV200,01/01/2021,-
PKK7967,2021,VA,5899,03301163529,3N6CM0KN6MK702023,C21159,WHITE,NV200,NISSAN,01/21/2022,-
PKK7969,2021,TX,C21160,03063716,3N6CM0KN0MK702129,C21160,WHITE,NISSAN,NV200,01/01/2021,-
PKX6296,2020,TX,5839,02805930,3N6CM0KN6LK691281,1805,WHITE,NISSAN,NV200,01/01/2021,-
PLJ9054,2021,TX,5896,-,3N6CM0KN4MK690227,P21001,WHITE,NISSAN,NV200,01/01/2021,-
PMB8273,2020,OH,5909,3301170154,1N6BF0KM2LN809236,20209,BLACK,NISSAN,NV CARGO NV1500,01/01/2021,-
PMC8975,2020,OH,5909,3301170149,3N6CM0KN4LK706506,202010,WHITE,NISSAN,NV200,01/01/2021,-
PMC8978,2020,OH,5909,3301170153,3N6CM0KN7LK699180,202011,BLACK,NISSAN,NV200,01/01/2021,-
PMC8979,2020,OH,5909,3301170109,3N6CM0KN9LK698810,202012,BLACK,NISSAN,NV200,01/01/2021,-
PMC8980,2020,OH,5909,3301170150,3N6CM0KN1LK695657,202013,WHITE,NISSAN,NV200,01/01/2021,-
PMG6828,2020,OH,5913,3301170156,3N6CM0KN4LK707056,P20036,BLACK,NISSAN,NV200,01/01/2021,-
